,Data,Título,Resumo,Autor(a),Análise de Voz Verbal
0,"19 abr, 2023",Homem é morto em confronto após furtar duas casas em menos de 24h,"Um homem morreu em confronto policial após furtar duas casas na zona de expansão da capital em menos de 24 horas. Segundo a PM, o primeiro furto foi registrado nesta segunda-feira, 17, após invadir e furtar uma chácara no Mosqueiro.…",João Paulo, Homem é morto (Voz PASSIVA) em confronto após furtar (Voz ATIVA) duas casas em menos de 24h
1,"17 abr, 2023",Homem é preso por fraturar cabeça da ex-mulher com paulada,"Militares do 5º Batalhão de Polícia Militar prenderam nesta segunda-feira, 17, um homem por fraturar a cabeça da ex-mulher com uma paulada, no Povoado Merem, em Nossa Senhora do Socorro.

A ocorrência foi passada pelo Ciosp e…",Verlane Estácio, Homem é preso (Voz PASSIVA) por fraturar (Voz ATIVA) cabeça da ex-mulher com paulada
2,"15 abr, 2023",Homem é preso após atirar pedras contra caminhão boiadeiro da PRF,"Um homem foi preso por policiais rodoviários federais após atirar pedras contra o caminhão boiadeiro da Polícia Rodoviária Federal (PRF). O fato ocorreu na manhã dessa sexta-feira, 14, na BR-101, em Socorro, mas só foi divulgado neste…",Verlane Estácio, Homem é preso (Voz PASSIVA) após atirar (Voz ATIVA) pedras contra caminhão boiadeiro da PRF
3,"13 abr, 2023",Homem é preso por porte ilegal de arma de fogo em Ribeirópolis,"Equipes do Batalhão de Polícia Rodoviária Estadual (BPRv) prenderam um homem por porte ilegal de arma de fogo, nessa quarta-feira, 12, no município de Ribeirópolis, região do agreste de Sergipe.

De acordo com as informações…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) por porte ilegal de arma de fogo em Ribeirópolis
4,"11 abr, 2023",Homem é preso com 3 kg de cocaína no bairro Santos Dumont,"Na madrugada desta terça-feira, 11, militares do Batalhão de Polícia de Radiopatrulha (BPRp) prenderam um homem por suspeita de tráfico ilícito de drogas no Bairro Santos Dumont, Zona Norte de Aracaju. Três quilos de cocaína foram…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) com 3 kg de cocaína no bairro Santos Dumont
5,"10 abr, 2023",Homem é preso com mandado de prisão em aberto na Coroa do Meio,"Policiais militares do Batalhão de Policiamento Turístico (BPTur) prenderam um homem com mandado de prisão em aberto, no bairro Coroa do Meio, zona sul da capital. O flagrante foi registrado na manhã desse domingo, 9.

Segundo as…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) com mandado de prisão em aberto (Voz ATIVA) na Coroa do Meio
6,"8 abr, 2023",Homem e mulher são esfaqueados em posto de gasolina em Canindé,"Uma confusão em um posto de gasolina terminou com um homem e uma mulher esfaqueados. O fato ocorreu por volta das 7h, neste sábado, 8, em um posto de gasolina na avenida Ananias Fernandes, no município de Canindé de São Francisco.

O…",Verlane Estácio, Homem e mulher são esfaqueados (Voz PASSIVA) em posto de gasolina em Canindé
7,"8 abr, 2023",Barra dos Coqueiros: homem é preso com droga e materiais para revenda,"Policiais militares do Regimento de Cavalaria Mecanizada de Motopatrulhamento (Getam) prenderam um homem por suspeita de tráfico ilícito de drogas na Barra dos Coqueiros, região metropolitana de Aracaju. O fato ocorreu na última…",Verlane Estácio, Barra dos Coqueiros : homem é preso (Voz PASSIVA) com droga e materiais para revenda
8,"7 abr, 2023",Homem é morto a tiros no bairro Santa Maria,"Um homem foi morto a tiros nesta sexta-feira,7, na avenida Alexandre Alcino no bairro Santa Maria.

De acordo com a Polícia Militar, a guarnição foi acionado para o local do crime e constatou o homicídio da vítima. O corpo foi…",Aisla Vasconcelos, Homem é morto (Voz PASSIVA) a tiros no bairro Santa Maria
9,"7 abr, 2023",Homem é alvejado a tiros na porta de casa e morre em Aracaju,"Um homem foi assassinado a tiros na noite da quinta-feira, 6, no Bairro Jardim Centenário, Zona Oeste da capital. A informação foi confirmada pela Polícia Militar.

De acordo com informações passadas pela Polícia Militar, a vítima foi…",Aisla Vasconcelos, Homem é alvejado (Voz PASSIVA) a tiros na porta de casa e morre (Voz ATIVA) em Aracaju
